useless,nf,entropy,la,ld,lt,fix,pd,npt,exp,bug
2,1,0.0,0.0135135135135135,0.0,74,1,1,0.0,4,0
3,4,1.36773624010892,0.0451376146788991,0.0044036697247706,2725,0,1,0.34193406002723,14,0
4,1,0.0,0.0393939393939394,0.0333333333333333,330,0,1,0.0,8,0
7,1,0.0,0.0302013422818792,0.0302013422818792,298,0,1,0.0,1,0
8,2,0.345117314944953,0.0255123379339189,0.000418235048097,2391,0,1,0.172558657472477,16,0
10,3,1.22013803281039,0.0930434782608696,0.0,1150,0,1,0.406712677603464,11,0
12,1,0.0,0.0066666666666666,0.0066666666666666,300,0,1,0.0,9,0
15,1,0.0,0.0740740740740741,0.037037037037037,81,0,1,0.0,10,0
17,4,1.75993052956409,0.0126382306477093,0.0055292259083728,1266,0,1,0.439982632391023,13,0
20,1,0.0,0.0,0.002416918429003,1655,0,1,0.0,8,0
23,2,0.70246655129039,0.0275590551181102,0.0,762,0,1,0.351233275645195,8,0
27,1,0.0,0.0012919896640826,0.003875968992248,774,0,1,0.0,7,0
28,1,0.0,0.139344262295082,0.0081967213114754,122,0,1,0.0,8,0
29,1,0.0,0.0,0.0,0,0,1,0.0,8,0
30,1,0.0,0.0816326530612245,0.0102040816326531,98,0,1,0.0,3,0
31,2,0.896038232534557,0.0326876513317191,0.0060532687651331,826,0,1,0.448019116267279,9,0
34,1,0.0,0.00390625,0.00390625,256,0,1,0.0,9,0
38,1,0.0,0.160714285714286,0.0,112,0,1,0.0,8,0
44,2,0.88654089282209,0.0122306348281887,0.0011648223645894,1717,0,1,0.443270446411045,8,0
45,1,0.0,0.0008090614886731,0.0,1236,1,1,0.0,9,0
48,1,0.0,0.0,0.004524886877828,442,0,1,0.0,11,0
50,6,1.23370527888514,0.0572631578947368,0.0294736842105263,2375,1,1,0.205617546480856,10,0
55,2,0.961236604722876,0.0049019607843137,0.0021786492374727,1836,0,1,0.480618302361438,11,0
56,2,1.0,0.0016129032258064,0.0016129032258064,620,0,1,0.5,10,0
57,1,0.0,0.0016293279022403,0.00040733197556,2455,0,1,0.0,9,0
59,1,0.0,0.0862068965517241,0.0031347962382445,638,0,1,0.0,9,1
60,1,0.0,0.0161290322580645,0.0070564516129032,992,0,1,0.0,9,0
61,3,1.41797344126489,0.0308008213552361,0.0328542094455852,487,0,1,0.472657813754962,14,0
62,5,1.51006778686746,0.0227370227370227,0.012012012012012,2331,0,1,0.302013557373493,15,0
63,1,0.0,0.0238095238095238,0.0,84,0,1,0.0,4,0
65,1,0.0,0.0029850746268656,0.0029850746268656,335,0,1,0.0,9,0
69,2,0.721928094887362,0.195266272189349,0.0118343195266272,169,0,1,0.360964047443681,10,0
72,2,1.0,0.0011848341232227,0.0,1688,0,1,0.5,4,0
74,2,0.684038435639042,0.0139082058414465,0.0013908205841446,719,0,1,0.342019217819521,9,0
75,1,0.0,0.0029239766081871,0.0029239766081871,342,1,1,0.0,9,1
76,3,0.322431170241019,0.0637651821862348,0.0425101214574899,988,0,1,0.107477056747006,16,1
78,1,0.0,0.0016306563391765,0.0012229922543823,2453,0,1,0.0,9,0
83,1,0.0,0.0008223684210526,0.0,1216,0,1,0.0,1,0
85,2,0.896038232534557,0.05,0.0071428571428571,280,0,1,0.448019116267279,16,0
86,1,0.0,0.0086206896551724,0.0086206896551724,232,0,1,0.0,9,0
87,2,0.130162790668259,0.139272271016311,0.0,797,0,1,0.0650813953341297,9,1
91,1,0.0,0.0022935779816513,0.0022935779816513,436,0,1,0.0,8,0
93,1,0.0,0.0013297872340425,0.0013297872340425,752,0,1,0.0,8,0
95,1,0.0,0.0991735537190083,0.0413223140495868,121,0,1,0.0,9,0
96,1,0.0,0.0796875,0.01875,640,0,1,0.0,4,0
98,3,1.2987949406954,0.0176991150442478,0.0176991150442478,226,1,1,0.432931646898466,8,0
100,1,0.0,0.008695652173913,0.008695652173913,115,1,1,0.0,9,0
101,1,0.0,0.0555555555555556,0.0061728395061728,162,0,1,0.0,8,0
102,2,0.94566030460064,0.0045408678102926,0.0010090817356205,1982,0,1,0.47283015230032,1,0
103,1,0.0,0.0294117647058824,0.0,68,1,1,0.0,4,0
104,1,0.0,0.0110935023771791,0.0063391442155309,631,0,1,0.0,9,0
105,1,0.0,0.018957345971564,0.0,211,1,1,0.0,1,0
108,1,0.0,0.0064102564102564,0.0,312,0,1,0.0,1,0
109,1,0.0,0.0012254901960784,0.0073529411764705,816,0,1,0.0,9,0
111,1,0.0,0.0067567567567567,0.0067567567567567,296,1,1,0.0,9,0
112,2,0.985228136034252,0.0289389067524116,0.0160771704180064,311,0,1,0.492614068017126,9,0
113,2,0.0,0.0,0.0,1,0,1,0.0,5,0
114,1,0.0,0.0170876671619614,0.0178306092124814,1346,0,1,0.0,8,0
116,1,0.0,0.014336917562724,0.010752688172043,279,0,1,0.0,9,0
117,1,0.0,0.0202702702702703,0.0135135135135135,148,0,1,0.0,8,0
118,2,0.213026057292825,0.130616509926855,0.0240334378265413,957,1,1,0.106513028646412,18,0
119,2,0.91829583405449,0.007908611599297,0.0026362038664323,1138,0,1,0.459147917027245,4,0
120,1,0.0,0.0089285714285714,0.0,112,0,1,0.0,9,0
121,3,1.58496250072116,0.0095238095238095,0.0095238095238095,315,0,1,0.528320833573719,3,0
122,2,0.970950594454669,0.0243111831442464,0.0243111831442464,617,0,1,0.485475297227334,10,0
123,1,0.0,0.0384615384615385,0.0,78,0,1,0.0,9,0
129,2,0.995727452084926,0.0122448979591837,0.0054421768707483,1470,0,1,0.497863726042463,18,0
132,1,0.0,0.0223214285714286,0.0089285714285714,224,0,1,0.0,7,0
133,3,1.28664267971377,0.168147208121827,0.0323604060913706,1576,0,1,0.428880893237923,18,0
135,1,0.0,0.0025906735751295,0.0025906735751295,386,0,1,0.0,9,0
137,1,0.0,0.094017094017094,0.0427350427350427,117,1,1,0.0,8,0
139,2,1.0,0.0153846153846154,0.0153846153846154,130,1,1,0.5,7,0
141,2,0.811278124459133,0.0069156293222683,0.004149377593361,1446,0,1,0.405639062229566,4,1
144,1,0.0,0.0047846889952153,0.0023923444976076,418,0,1,0.0,1,0
145,3,1.28960855834815,0.0941828254847645,0.0,361,1,1,0.429869519449384,19,0
147,4,1.89420960058768,0.168115942028985,0.0067632850241545,1035,1,1,0.473552400146919,17,0
151,1,0.0,0.0141509433962264,0.0141509433962264,212,0,1,0.0,8,0
153,2,1.0,0.0067567567567567,0.0067567567567567,296,1,1,0.5,6,0
154,1,0.0,0.0014409221902017,0.0014409221902017,2082,0,1,0.0,7,0
160,1,0.0,0.0160642570281124,0.0160642570281124,498,0,1,0.0,8,0
163,4,1.50254675505779,0.072850487081745,0.0118593816179585,2361,0,1,0.375636688764448,16,1
164,3,1.15111355119388,0.173770491803279,0.0360655737704918,305,0,1,0.383704517064627,10,1
165,1,0.0,0.0010060362173038,0.0,994,0,1,0.0,8,0
167,3,1.52320357159405,0.0876095118898623,0.0337922403003755,799,0,1,0.507734523864682,9,1
168,1,0.0,0.0491071428571429,0.0044642857142857,224,0,1,0.0,9,0
169,1,0.0,0.0014634146341463,0.0004878048780487,2050,0,1,0.0,9,0
170,2,0.968461008760162,0.0602055800293686,0.0102790014684288,681,0,1,0.484230504380081,10,0
