nf,entropy,la,ld,lt,fix,pd,npt,exp,bug
0,0.0,0.265625,0.0,249,0,1,0.0,8,1
0,0.0,0.0135135135135135,0.0,67,1,1,0.0,4,0
3,1.36773624010892,0.0451376146788991,0.0044036697247706,2166,0,1,0.34193406002723,14,0
0,0.0,0.0393939393939394,0.0333333333333333,323,0,1,0.0,8,0
3,0.768852857787243,0.991071428571429,0.0535714285714286,217,0,1,0.192213214446811,5,0
2,0.587285637167863,0.0385530699666825,0.0023798191337458,1829,0,3,0.195761879055954,24,0
0,0.0,0.0302013422818792,0.0302013422818792,291,0,1,0.0,1,0
1,0.345117314944953,0.0255123379339189,0.000418235048097,1988,0,1,0.172558657472477,16,0
7,1.49663452278509,0.104718981972428,0.0058324496288441,2566,0,4,0.187079315348136,33,0
2,1.22013803281039,0.0930434782608696,0.0,1099,0,1,0.406712677603464,11,0
0,0.0,0.0021451555237754,0.0003575259206292,2201,1,1,0.0,8,0
0,0.0,0.0066666666666666,0.0066666666666666,293,0,1,0.0,9,0
3,1.3614207354727,0.228105906313646,0.0122199592668024,946,1,2,0.340355183868174,18,0
0,0.0,0.0026229508196721,0.0,2318,0,1,0.0,9,0
0,0.0,0.0740740740740741,0.037037037037037,74,0,1,0.0,10,0
33,4.0055617863803,0.0603791469194313,0.0258767772511848,3177,0,1,0.117810640775891,17,1
3,1.75993052956409,0.0126382306477093,0.0055292259083728,1197,0,1,0.439982632391023,13,0
15,4.0,0.0,0.0,0,0,14,0.25,73,0
3,1.61357313888977,0.416352201257862,0.0012578616352201,773,0,1,0.403393284722442,21,1
0,0.0,0.0,0.002416918429003,1518,0,1,0.0,8,0
2,1.31096151540296,0.975409836065574,0.0,115,1,1,0.436987171800986,8,0
0,0.0,0.984375,0.0,57,0,1,0.0,9,1
1,0.70246655129039,0.0275590551181102,0.0,742,0,1,0.351233275645195,8,0
0,0.0,0.997722095671982,0.0,431,0,1,0.0,9,0
0,0.0,1.0,0.0,36,0,1,0.0,8,0
1,1.0,0.985074626865672,0.985074626865672,60,1,1,0.5,15,0
0,0.0,0.0012919896640826,0.003875968992248,753,0,1,0.0,7,0
0,0.0,0.139344262295082,0.0081967213114754,115,0,1,0.0,8,0
0,0.0,0.0,0.0,0,0,1,0.0,8,0
0,0.0,0.0816326530612245,0.0102040816326531,91,0,1,0.0,3,0
1,0.896038232534557,0.0326876513317191,0.0060532687651331,803,0,1,0.448019116267279,9,0
0,0.0,0.361702127659574,0.170212765957447,134,0,1,0.0,9,0
0,0.0,0.0009017132551848,0.0009017132551848,1062,0,0,0.0,0,0
0,0.0,0.00390625,0.00390625,249,0,1,0.0,9,0
0,0.0,0.217877094972067,0.0055865921787709,172,0,0,0.0,0,0
0,0.0,0.986666666666667,0.0,68,0,1,0.0,8,0
8,1.82594168233111,0.0634037819799778,0.0305895439377086,1639,1,3,0.202882409147901,28,0
0,0.0,0.160714285714286,0.0,105,0,1,0.0,8,0
