nf,entropy,la,ld,lt,fix,pd,npt,exp,bug
1,0.0,0.0135135135135135,0.0,74,1,1,0.0,4,0
4,1.36773624010892,0.0451376146788991,0.0044036697247706,2725,0,1,0.34193406002723,14,0
1,0.0,0.0393939393939394,0.0333333333333333,330,0,1,0.0,8,0
1,0.0,0.0302013422818792,0.0302013422818792,298,0,1,0.0,1,0
2,0.345117314944953,0.0255123379339189,0.000418235048097,2391,0,1,0.172558657472477,16,0
3,1.22013803281039,0.0930434782608696,0.0,1150,0,1,0.406712677603464,11,0
1,0.0,0.0066666666666666,0.0066666666666666,300,0,1,0.0,9,0
1,0.0,0.0740740740740741,0.037037037037037,81,0,1,0.0,10,0
4,1.75993052956409,0.0126382306477093,0.0055292259083728,1266,0,1,0.439982632391023,13,0
1,0.0,0.0,0.002416918429003,1655,0,1,0.0,8,0
2,0.70246655129039,0.0275590551181102,0.0,762,0,1,0.351233275645195,8,0
1,0.0,0.0012919896640826,0.003875968992248,774,0,1,0.0,7,0
1,0.0,0.139344262295082,0.0081967213114754,122,0,1,0.0,8,0
1,0.0,0.0,0.0,0,0,1,0.0,8,0
1,0.0,0.0816326530612245,0.0102040816326531,98,0,1,0.0,3,0
2,0.896038232534557,0.0326876513317191,0.0060532687651331,826,0,1,0.448019116267279,9,0
1,0.0,0.00390625,0.00390625,256,0,1,0.0,9,0
1,0.0,0.160714285714286,0.0,112,0,1,0.0,8,0
2,0.88654089282209,0.0122306348281887,0.0011648223645894,1717,0,1,0.443270446411045,8,0
1,0.0,0.0008090614886731,0.0,1236,1,1,0.0,9,0
1,0.0,0.0,0.004524886877828,442,0,1,0.0,11,0
6,1.23370527888514,0.0572631578947368,0.0294736842105263,2375,1,1,0.205617546480856,10,0
2,0.961236604722876,0.0049019607843137,0.0021786492374727,1836,0,1,0.480618302361438,11,0
2,1.0,0.0016129032258064,0.0016129032258064,620,0,1,0.5,10,0
1,0.0,0.0016293279022403,0.00040733197556,2455,0,1,0.0,9,0
1,0.0,0.0862068965517241,0.0031347962382445,638,0,1,0.0,9,1
1,0.0,0.0161290322580645,0.0070564516129032,992,0,1,0.0,9,0
3,1.41797344126489,0.0308008213552361,0.0328542094455852,487,0,1,0.472657813754962,14,0
5,1.51006778686746,0.0227370227370227,0.012012012012012,2331,0,1,0.302013557373493,15,0
1,0.0,0.0238095238095238,0.0,84,0,1,0.0,4,0
1,0.0,0.0029850746268656,0.0029850746268656,335,0,1,0.0,9,0
2,0.721928094887362,0.195266272189349,0.0118343195266272,169,0,1,0.360964047443681,10,0
2,1.0,0.0011848341232227,0.0,1688,0,1,0.5,4,0
2,0.684038435639042,0.0139082058414465,0.0013908205841446,719,0,1,0.342019217819521,9,0
1,0.0,0.0029239766081871,0.0029239766081871,342,1,1,0.0,9,1
3,0.322431170241019,0.0637651821862348,0.0425101214574899,988,0,1,0.107477056747006,16,1
