useless,nf,entropy,la,ld,lt,fix,pd,npt,exp,bug
2,3,1.58496250072116,0.012448132780083,0.012448132780083,241,0,1,0.528320833573719,18,0
4,1,0.0,0.0077619663648124,0.0,773,0,1,0.0,9,0
7,3,1.08320836921917,0.131332082551595,0.0075046904315197,533,0,1,0.361069456406391,21,0
11,3,1.58496250072116,0.0203389830508475,0.0203389830508475,295,0,1,0.528320833573719,10,0
12,3,1.34213895587351,0.0311284046692607,0.0505836575875486,257,0,1,0.447379651957836,11,0
15,1,0.0,0.0006188118811881,0.0006188118811881,1616,0,1,0.0,1,0
21,4,1.8048956511448,0.020440251572327,0.0157232704402516,636,0,1,0.451223912786201,9,0
22,4,1.87101912087884,0.0246305418719212,0.0221674876847291,406,0,1,0.46775478021971,10,0
23,2,0.94566030460064,0.0083207261724659,0.0,1322,0,1,0.47283015230032,16,0
24,1,0.0,0.0057971014492753,0.0,345,0,1,0.0,5,0
25,1,0.0,0.114754098360656,0.019672131147541,305,0,1,0.0,3,0
29,4,1.66426961459387,0.144884241971621,0.0007468259895444,1339,0,1,0.416067403648468,25,1
30,1,0.0,0.0810810810810811,0.0135135135135135,148,0,1,0.0,10,0
35,1,0.0,0.0046511627906976,0.0046511627906976,215,0,1,0.0,10,0
36,1,0.0,0.0009341429238673,0.0009341429238673,2141,0,1,0.0,6,0
37,1,0.0,0.0813953488372093,0.0116279069767442,86,0,1,0.0,10,0
43,1,0.0,0.0003828483920367,0.0003828483920367,2612,0,1,0.0,1,0
44,1,0.0,0.149700598802395,0.0,167,0,1,0.0,10,0
45,1,0.0,0.0087336244541484,0.0043668122270742,458,1,1,0.0,10,0
46,1,0.0,0.0060975609756097,0.0,164,0,1,0.0,2,0
47,1,0.0,0.0066225165562913,0.0066225165562913,151,0,1,0.0,3,0
49,2,0.0,0.0,0.0,0,0,1,0.0,5,0
51,3,1.49491884823395,0.0002927400468384,0.002927400468384,3416,0,1,0.49830628274465,11,0
52,2,0.929363626013719,0.133640552995392,0.0,217,0,1,0.464681813006859,17,0
54,3,1.57095059445467,0.0559210526315789,0.0098684210526315,304,0,1,0.523650198151556,10,0
57,2,1.0,0.0,0.0088105726872246,227,0,1,0.5,12,0
65,5,2.28924642850916,0.0238726790450928,0.0159151193633952,377,0,1,0.457849285701832,7,0
66,1,0.0,0.0306748466257669,0.0,163,0,1,0.0,2,0
68,1,0.0,0.003731343283582,0.003731343283582,268,0,1,0.0,3,0
70,3,1.49491884823395,0.0071022727272727,0.0085227272727272,704,0,1,0.49830628274465,18,0
74,4,1.74504641727735,0.0317919075144509,0.0043352601156069,692,0,1,0.436261604319336,11,0
76,5,1.77095059445467,0.0021854511395566,0.0009366219169528,3203,0,1,0.354190118890934,20,0
77,1,0.0,0.0163934426229508,0.0131147540983607,305,0,1,0.0,10,0
78,1,0.0,0.0297029702970297,0.0099009900990099,101,1,1,0.0,10,0
79,1,0.0,0.0038095238095238,0.0044444444444444,1575,0,1,0.0,8,1
83,4,1.43529725361693,0.0466034755134281,0.0110584518167457,1266,0,1,0.358824313404233,17,0
84,1,0.0,0.0004042037186742,0.0004042037186742,4948,0,1,0.0,1,0
86,3,1.22438145772449,0.0502793296089385,0.0055865921787709,895,0,1,0.408127152574831,10,1
87,1,0.0,0.0324909747292419,0.0180505415162455,277,0,1,0.0,9,0
89,1,0.0,0.021978021978022,0.0,182,0,1,0.0,11,0
90,5,1.83926724576224,0.120481927710843,0.0066934404283801,1494,0,1,0.367853449152448,35,0
92,1,0.0,0.0003734129947722,0.0003734129947722,2678,0,1,0.0,1,0
94,1,0.0,0.0003601008282319,0.0003601008282319,2777,0,1,0.0,1,0
96,1,0.0,0.000191717791411,0.000191717791411,5216,0,1,0.0,1,0
97,1,0.0,0.0,0.0147058823529412,136,0,1,0.0,10,0
99,1,0.0,0.0579710144927536,0.0,138,1,1,0.0,10,0
102,2,0.0782324652577124,0.218947368421053,0.0,475,0,1,0.0391162326288562,3,1
106,2,0.876064367855524,0.109062980030722,0.0,651,0,1,0.438032183927762,9,0
107,1,0.0,0.0576923076923077,0.0480769230769231,104,1,1,0.0,10,0
108,4,1.90719967070895,0.0,0.0152413209144793,1181,0,1,0.476799917677237,19,0
109,1,0.0,0.0001961938395134,0.0001961938395134,5097,0,1,0.0,1,0
111,4,1.41803634926269,0.221033868092692,0.0409982174688057,561,1,1,0.354509087315673,21,0
113,1,0.0,0.0082644628099173,0.0413223140495868,242,0,1,0.0,10,0
114,1,0.0,0.032258064516129,0.0161290322580645,124,0,1,0.0,11,0
115,1,0.0,0.0121293800539084,0.0283018867924528,742,0,1,0.0,9,0
116,1,0.0,0.0161290322580645,0.0,62,0,1,0.0,8,0
118,1,0.0,0.0363636363636364,0.0363636363636364,55,1,1,0.0,10,0
122,4,1.19859247823481,0.0889175257731959,0.0064432989690721,776,0,1,0.299648119558701,14,0
123,1,0.0,0.0002862868594331,0.0002862868594331,3493,0,1,0.0,1,0
126,1,0.0,0.0434782608695652,0.0434782608695652,23,0,1,0.0,6,0
127,1,0.0,0.0116279069767442,0.0012919896640826,774,0,1,0.0,10,0
128,1,0.0,0.0018552875695732,0.0018552875695732,539,0,1,0.0,10,0
129,5,2.25,0.0076701821668264,0.0076701821668264,1043,0,1,0.45,17,0
131,1,0.0,0.0001945146858587,0.0001945146858587,5141,0,1,0.0,1,0
135,1,0.0,0.0982456140350877,0.0245614035087719,285,0,1,0.0,10,0
138,1,0.0,0.0005938242280285,0.0005938242280285,3368,0,1,0.0,1,0
141,2,0.905928216042999,0.0934959349593496,0.0203252032520325,246,0,1,0.4529641080215,10,0
144,1,0.0,0.0013054830287206,0.0026109660574412,766,0,1,0.0,9,0
145,1,0.0,0.0029940119760479,0.0029940119760479,334,0,1,0.0,9,0
147,1,0.0,0.0204081632653061,0.0204081632653061,98,1,1,0.0,5,0
158,1,0.0,0.0444444444444444,0.0,270,0,1,0.0,10,0
159,1,0.0,0.0064102564102564,0.0064102564102564,156,0,1,0.0,8,0
163,1,0.0,0.002262443438914,0.002262443438914,442,0,1,0.0,10,0
165,1,0.0,0.032258064516129,0.032258064516129,155,0,1,0.0,11,0
170,2,0.950956048454973,0.0518518518518519,0.0481481481481481,270,0,1,0.475478024227486,20,0
174,1,0.0,0.0909090909090909,0.0454545454545455,88,0,1,0.0,9,0
176,1,0.0,0.0005830903790087,0.0005830903790087,3430,0,1,0.0,1,0
177,1,0.0,0.0001970443349753,0.0001970443349753,5075,0,1,0.0,1,0
180,1,0.0,0.000350017500875,0.000350017500875,2857,0,1,0.0,1,0
181,2,1.0,0.0304182509505703,0.0253485424588086,789,0,1,0.5,19,0
182,1,0.0,0.0034364261168384,0.0034364261168384,291,0,1,0.0,11,0
183,1,0.0,0.0041522491349481,0.0013840830449827,1445,0,1,0.0,9,0
185,1,0.0,0.0,0.0093457943925233,107,0,1,0.0,2,0
186,1,0.0,0.0300751879699248,0.0300751879699248,133,0,1,0.0,11,0
187,3,1.15617873048892,0.0603448275862069,0.0,580,1,1,0.385392910162973,23,0
191,1,0.0,0.0404448938321537,0.0010111223458038,989,0,1,0.0,10,0
192,2,0.91829583405449,0.0070422535211267,0.0140845070422535,142,0,1,0.459147917027245,10,0
193,2,0.985228136034252,0.0308056872037915,0.0023696682464455,422,0,1,0.492614068017126,11,0
194,2,0.591672778582327,0.0267686424474187,0.0133843212237094,523,0,1,0.295836389291164,16,0
198,4,1.5468845602035,0.0463733650416171,0.0,841,0,1,0.386721140050875,18,0
203,1,0.0,0.0,0.024390243902439,82,0,1,0.0,2,0
204,4,1.87191233142387,0.234769687964339,0.0029717682020802,673,0,1,0.467978082855969,14,0
205,1,0.0,0.0,0.0043668122270742,229,0,1,0.0,12,0
206,1,0.0,0.0026455026455026,0.0,378,0,1,0.0,1,0
207,3,1.03514019815571,0.0080875356803044,0.005708848715509,2102,0,1,0.34504673271857,15,0
208,2,0.94993802142349,0.0979483785572469,0.0132362673726009,1511,0,1,0.474969010711745,14,0
210,1,0.0,0.0001954270080125,0.0001954270080125,5117,0,1,0.0,1,0
211,1,0.0,0.0598290598290598,0.0085470085470085,117,0,1,0.0,9,0
214,5,1.73596733235377,0.215525114155251,0.0063926940639269,1095,0,1,0.347193466470754,17,0
218,3,1.58496250072116,0.0384615384615385,0.0,156,0,1,0.528320833573719,12,0
221,1,0.0,0.0227272727272727,0.0,132,0,1,0.0,2,0
226,1,0.0,0.0625,0.015625,128,0,1,0.0,11,0
231,2,0.904381457724494,0.0347682119205298,0.0066225165562913,604,0,1,0.452190728862247,11,0
232,1,0.0,0.0034013605442176,0.0034013605442176,588,0,1,0.0,5,0
233,2,0.391243563629256,0.226244343891403,0.0090497737556561,221,0,1,0.195621781814628,12,0
234,1,0.0,0.0027247956403269,0.0054495912806539,367,0,1,0.0,10,0
236,1,0.0,0.0001951600312256,0.0001951600312256,5124,0,1,0.0,1,0
237,1,0.0,0.0264817150063052,0.0050441361916771,793,0,1,0.0,11,0
238,1,0.0,0.0086206896551724,0.0086206896551724,116,0,1,0.0,8,0
241,2,0.933025295359291,0.0382222222222222,0.0,1125,0,1,0.466512647679646,10,0
242,1,0.0,0.0841423948220065,0.0032362459546925,309,0,1,0.0,10,0
245,1,0.0,0.0025210084033613,0.0016806722689075,1190,0,1,0.0,8,0
246,2,1.0,0.0045766590389016,0.0045766590389016,437,0,1,0.5,14,0
247,1,0.0,0.0003615328994938,0.0003615328994938,2766,0,1,0.0,1,0
248,1,0.0,0.048721071863581,0.0426309378806334,821,0,1,0.0,10,0
249,1,0.0,0.0,0.0199501246882793,401,0,1,0.0,2,0
252,1,0.0,0.00020366598778,0.00020366598778,4910,0,1,0.0,1,0
253,1,0.0,0.0,0.0225563909774436,133,0,1,0.0,10,0
255,1,0.0,0.022680412371134,0.0,485,0,1,0.0,5,0
257,2,0.985228136034252,0.127272727272727,0.0424242424242424,165,0,1,0.492614068017126,9,1
259,2,0.954434002924965,0.0603448275862069,0.0086206896551724,116,0,1,0.477217001462482,11,0
260,1,0.0,0.0957446808510638,0.0,94,0,1,0.0,9,0
261,2,0.976020648236615,0.0495867768595041,0.0413223140495868,242,0,1,0.488010324118307,11,0
262,3,1.25162916738782,0.0116504854368932,0.0116504854368932,515,1,1,0.417209722462608,11,0
263,1,0.0,0.0187192118226601,0.0177339901477833,1015,0,1,0.0,11,0
264,4,1.86393248552192,0.191387559808612,0.0047846889952153,209,0,1,0.465983121380479,10,0
265,1,0.0,0.000258866166192,0.000258866166192,3863,0,1,0.0,4,0
266,1,0.0,0.000268817204301,0.000268817204301,3720,0,1,0.0,1,0
267,1,0.0,0.220588235294118,0.0294117647058824,68,1,1,0.0,10,0
268,1,0.0,0.0340909090909091,0.0340909090909091,176,0,1,0.0,11,0
271,1,0.0,0.159574468085106,0.0,94,0,1,0.0,10,0
273,2,0.959316032054378,0.0875,0.0107142857142857,560,0,1,0.479658016027189,10,0
275,1,0.0,0.0001948178453146,0.0001948178453146,5133,0,1,0.0,1,0
278,1,0.0,0.0074626865671641,0.0,402,0,1,0.0,8,0
279,2,0.337290066617014,0.0238663484486874,0.0143198090692124,419,0,1,0.168645033308507,9,0
280,5,1.94773092211916,0.0744920993227991,0.0158013544018059,443,1,1,0.389546184423832,18,0
283,3,0.921928094887362,0.0083798882681564,0.0055865921787709,716,0,1,0.307309364962454,17,0
288,5,2.20988863801473,0.0197044334975369,0.0147783251231527,406,0,1,0.441977727602945,19,0
291,2,1.0,0.0071942446043165,0.0071942446043165,278,0,1,0.5,17,0
294,5,1.80246779737157,0.031021897810219,0.0237226277372263,548,0,1,0.360493559474313,18,0
298,1,0.0,0.0521739130434783,0.008695652173913,115,0,1,0.0,10,0
299,1,0.0,0.0086614173228346,0.0,1270,1,1,0.0,1,0
301,3,1.4284124677946,0.030812324929972,0.0028011204481792,714,0,1,0.476137489264866,19,0
303,6,1.69797721147373,0.0298165137614679,0.0002548419979612,3924,0,1,0.282996201912289,24,0
307,7,2.39894581398125,0.0268977884040646,0.017931858936043,1673,0,1,0.342706544854465,11,1
308,3,1.14053502412511,0.0527522935779817,0.0275229357798165,436,1,1,0.380178341375036,15,0
309,1,0.0,0.02,0.0,50,0,1,0.0,10,0
313,2,0.811278124459133,0.05,0.025,320,0,1,0.405639062229566,15,0
319,1,0.0,0.0018115942028985,0.0,2760,0,1,0.0,6,0
321,7,2.29968187155215,0.0621890547263682,0.0385572139303483,1608,0,1,0.328525981650307,19,0
322,1,0.0,0.0,0.0126582278481013,79,0,1,0.0,2,0
324,1,0.0,0.0434782608695652,0.0,414,0,1,0.0,9,0
325,8,2.91829583405449,0.0038772213247172,0.0038772213247172,3095,0,1,0.364786979256811,16,0
328,3,1.39958123064606,0.029520295202952,0.025830258302583,271,0,1,0.466527076882021,12,0
330,3,0.913547675944687,0.149722735674677,0.0184842883548983,541,0,1,0.304515891981562,11,0
332,2,0.286396957115956,0.0710059171597633,0.0473372781065089,338,1,1,0.143198478557978,11,0
333,1,0.0,0.0232558139534884,0.0116279069767442,172,0,1,0.0,8,0
334,2,1.0,0.0136054421768707,0.0136054421768707,147,0,1,0.5,10,0
342,1,0.0,0.0054945054945054,0.0054945054945054,182,0,1,0.0,10,0
343,1,0.0,0.0240963855421687,0.0120481927710843,83,0,1,0.0,10,0
348,4,1.19859661927858,0.226158038147139,0.0490463215258856,367,0,1,0.299649154819646,19,0
349,1,0.0,0.0002952465308532,0.0002952465308532,3387,0,1,0.0,1,0
350,2,1.0,0.0024630541871921,0.0024630541871921,812,1,1,0.5,16,0
351,1,0.0,0.025,0.025,40,0,1,0.0,6,0
356,1,0.0,0.0,0.0016920473773265,591,0,1,0.0,6,0
357,2,0.811278124459133,0.0343839541547278,0.0,349,0,1,0.405639062229566,19,0
361,6,2.55034070954639,0.0021213406873143,0.0025456088247772,2357,0,1,0.425056784924398,19,0
362,1,0.0,0.0710059171597633,0.0473372781065089,169,0,1,0.0,2,0
366,1,0.0,0.0032258064516129,0.0032258064516129,930,0,1,0.0,2,0
367,1,0.0,0.0023094688221709,0.0023094688221709,433,0,1,0.0,2,0
369,1,0.0,0.0021186440677966,0.0021186440677966,472,0,1,0.0,10,0
371,1,0.0,0.05,0.02,100,0,1,0.0,10,0
372,1,0.0,0.0353982300884956,0.0176991150442478,113,0,1,0.0,8,0
373,1,0.0,0.0416666666666667,0.0,48,0,1,0.0,10,0
374,1,0.0,0.0,0.0149253731343284,134,0,1,0.0,2,0
376,1,0.0,0.0069930069930069,0.0069930069930069,143,0,1,0.0,3,0
377,6,1.4243397121353,0.0789652825051055,0.0197413206262764,1469,0,1,0.23738995202255,13,0
379,2,0.970950594454669,0.0107142857142857,0.0011904761904761,840,0,1,0.485475297227334,10,0
380,2,0.980597440991727,0.0477554918815664,0.0047755491881566,1047,0,1,0.490298720495864,8,0
381,1,0.0,0.0,0.0185185185185185,108,0,1,0.0,2,0
382,1,0.0,0.0714285714285714,0.0,28,0,1,0.0,6,0
383,1,0.0,0.0,0.0046082949308755,217,0,1,0.0,9,0
386,1,0.0,0.0026666666666666,0.0026666666666666,375,0,1,0.0,9,0
387,3,1.37095059445467,0.0083102493074792,0.0055401662049861,722,0,1,0.45698353148489,18,0
390,1,0.0,0.0153846153846154,0.0,455,0,1,0.0,10,0
394,1,0.0,0.000278940027894,0.000278940027894,3585,0,1,0.0,1,0
396,1,0.0,0.133587786259542,0.0,262,0,1,0.0,11,1
397,1,0.0,0.027027027027027,0.027027027027027,185,1,1,0.0,8,0
399,1,0.0,0.0034843205574912,0.0,287,0,1,0.0,1,0
400,2,0.979868756651153,0.0202839756592292,0.0040567951318458,493,0,1,0.489934378325576,14,0
402,2,0.966452275046887,0.0,0.0,0,0,1,0.483226137523444,9,0
403,2,0.543564443199596,0.021671826625387,0.0030959752321981,323,0,1,0.271782221599798,17,0
406,3,1.48186312513611,0.0945121951219512,0.0060975609756097,328,0,1,0.493954375045371,19,0
408,2,0.993233819739707,0.12448132780083,0.004149377593361,241,0,1,0.496616909869853,14,0
409,1,0.0,0.0970873786407767,0.0097087378640776,103,0,1,0.0,10,0
412,1,0.0,0.0,0.0289017341040462,173,0,1,0.0,8,0
413,1,0.0,0.0003003003003003,0.0003003003003003,3330,0,1,0.0,1,0
415,1,0.0,0.0175438596491228,0.0175438596491228,57,0,1,0.0,10,0
417,2,0.721928094887362,0.0111265646731572,0.0097357440890125,719,0,1,0.360964047443681,6,1
419,3,1.07838781149383,0.0323508267433501,0.0,1391,0,1,0.359462603831277,19,0
421,1,0.0,0.0072992700729927,0.0072992700729927,137,1,1,0.0,5,0
422,1,0.0,0.0087463556851312,0.0087463556851312,343,0,1,0.0,10,0
426,3,1.2366493562677,0.107407407407407,0.0444444444444444,270,1,1,0.412216452089233,17,0
428,1,0.0,0.0003214400514304,0.0003214400514304,3111,0,1,0.0,2,0
431,1,0.0,0.0006535947712418,0.0006535947712418,1530,0,1,0.0,1,0
433,1,0.0,0.0,0.0116959064327485,513,1,1,0.0,2,0
438,1,0.0,0.0007722007722007,0.0007722007722007,1295,0,1,0.0,1,0
439,1,0.0,0.0002952465308532,0.0002952465308532,3387,0,1,0.0,1,0
441,3,1.45056129795093,0.111979166666667,0.03125,768,0,1,0.483520432650309,10,0
443,1,0.0,0.0542168674698795,0.0,166,0,1,0.0,2,0
445,1,0.0,0.0039100684261974,0.0009775171065493,1023,0,1,0.0,9,0
448,4,1.92192809488736,0.0059820538384845,0.003988035892323,1003,0,1,0.480482023721841,9,1
449,2,0.941423108186979,0.13840830449827,0.0449826989619377,289,0,1,0.47071155409349,16,0
450,1,0.0,0.032258064516129,0.032258064516129,31,0,1,0.0,2,0
451,4,1.42998875294282,0.182254196642686,0.0071942446043165,417,0,1,0.357497188235705,19,0
454,3,1.45914791702724,0.0155210643015521,0.0110864745011086,451,0,1,0.486382639009082,11,0
455,1,0.0,0.0002721088435374,0.0002721088435374,3675,1,1,0.0,1,0
456,1,0.0,0.0045871559633027,0.0022935779816513,436,0,1,0.0,10,0
457,1,0.0,0.0357142857142857,0.0357142857142857,28,0,1,0.0,6,0
458,1,0.0,0.0,0.0,0,0,1,0.0,10,0
460,3,1.37095059445467,0.0119904076738609,0.0119904076738609,417,0,1,0.45698353148489,15,0
461,4,1.66486813755669,0.10972972972973,0.0308108108108108,1850,0,1,0.416217034389173,30,0
462,1,0.0,0.0449438202247191,0.0,89,0,1,0.0,10,0
464,1,0.0,0.0234741784037559,0.0,213,0,1,0.0,2,0
465,3,1.43317617321957,0.0043352601156069,0.0065028901734104,2768,0,1,0.477725391073191,16,0
467,1,0.0,0.0011737089201877,0.0011737089201877,1704,0,1,0.0,1,0
468,1,0.0,0.0048309178743961,0.0,207,0,1,0.0,11,0
473,4,1.44661666762821,0.0070422535211267,0.0140845070422535,852,0,1,0.361654166907052,9,0
476,1,0.0,0.0027624309392265,0.0027624309392265,362,0,1,0.0,11,0
479,1,0.0,0.0002027163997567,0.0002027163997567,4933,0,1,0.0,1,0
481,7,0.0,0.108695652173913,0.0,46,0,1,0.0,2,0
483,5,1.40293423819539,0.0506756756756757,0.0011261261261261,888,0,1,0.280586847639078,13,1
485,2,0.863120568566631,0.0014814814814814,0.0019753086419753,2025,0,1,0.431560284283315,17,0
486,2,0.881290899230693,0.0066815144766147,0.0155902004454343,449,1,1,0.440645449615346,10,0
488,1,0.0,0.0043668122270742,0.0,229,0,1,0.0,5,0
489,2,0.91829583405449,0.0734265734265734,0.0,286,0,1,0.459147917027245,10,0
490,1,0.0,0.0,0.0053003533568904,566,0,1,0.0,10,0
492,3,1.22439444540599,0.0337837837837838,0.027027027027027,148,0,1,0.408131481801995,19,0
494,3,0.830602115145806,0.0177595628415301,0.0020491803278688,1464,0,1,0.276867371715269,18,0
495,1,0.0,0.0074441687344913,0.0024813895781637,403,0,1,0.0,9,0
496,1,0.0,0.0004093327875562,0.0004093327875562,2443,0,1,0.0,6,0
497,1,0.0,0.0686274509803922,0.0,102,0,1,0.0,9,0
500,1,0.0,0.0231884057971014,0.0289855072463768,345,1,1,0.0,10,1
502,1,0.0,0.0028985507246376,0.0028985507246376,345,0,1,0.0,10,0
503,1,0.0,0.0384615384615385,0.0384615384615385,26,0,1,0.0,5,0
504,5,1.96396346026237,0.0054536440257808,0.0059494298463064,2017,0,1,0.392792692052473,25,0
505,3,0.982568362649517,0.149584487534626,0.0041551246537396,722,0,1,0.327522787549839,17,0
509,2,0.779349837292085,0.0111731843575419,0.0130353817504655,537,0,1,0.389674918646043,10,1
512,1,0.0,0.0002862868594331,0.0002862868594331,3493,0,1,0.0,1,0
515,1,0.0,0.0060362173038229,0.0040241448692152,497,0,1,0.0,10,0
517,1,0.0,0.0015590894917368,0.0,3207,0,1,0.0,4,0
518,4,0.753320081691649,0.149006622516556,0.0066225165562913,302,0,1,0.188330020422912,10,0
