nf,entropy,la,ld,lt,fix,pd,npt,exp,bug
2,1.58496250072116,0.012448132780083,0.012448132780083,225,0,0,0.528320833573719,17,0
0,0.0,0.0077619663648124,0.0,757,0,0,0.0,8,0
2,1.08320836921917,0.131332082551595,0.0075046904315197,517,0,0,0.361069456406391,20,0
2,1.58496250072116,0.0203389830508475,0.0203389830508475,279,0,0,0.528320833573719,9,0
2,1.34213895587351,0.0311284046692607,0.0505836575875486,241,0,0,0.447379651957836,10,0
0,0.0,0.0006188118811881,0.0006188118811881,1571,0,0,0.0,0,0
3,1.8048956511448,0.020440251572327,0.0157232704402516,620,0,0,0.451223912786201,8,0
3,1.87101912087884,0.0246305418719212,0.0221674876847291,390,0,0,0.46775478021971,9,0
1,0.94566030460064,0.0083207261724659,0.0,1298,0,0,0.47283015230032,15,0
0,0.0,0.0057971014492753,0.0,329,0,0,0.0,4,0
0,0.0,0.114754098360656,0.019672131147541,289,0,0,0.0,2,0
3,1.66426961459387,0.144884241971621,0.0007468259895444,1314,0,0,0.416067403648468,24,1
0,0.0,0.0810810810810811,0.0135135135135135,132,0,0,0.0,9,0
0,0.0,0.0046511627906976,0.0046511627906976,199,0,0,0.0,9,0
0,0.0,0.0009341429238673,0.0009341429238673,1934,0,0,0.0,5,0
0,0.0,0.0813953488372093,0.0116279069767442,70,0,0,0.0,9,0
0,0.0,0.0003828483920367,0.0003828483920367,2197,0,0,0.0,0,0
0,0.0,0.149700598802395,0.0,151,0,0,0.0,9,0
0,0.0,0.0087336244541484,0.0043668122270742,442,1,0,0.0,9,0
0,0.0,0.0060975609756097,0.0,148,0,0,0.0,1,0
0,0.0,0.0066225165562913,0.0066225165562913,135,0,0,0.0,2,0
1,0.0,0.0,0.0,0,0,0,0.0,4,0
2,1.49491884823395,0.0002927400468384,0.002927400468384,2552,0,0,0.49830628274465,10,0
1,0.929363626013719,0.133640552995392,0.0,201,0,0,0.464681813006859,16,0
2,1.57095059445467,0.0559210526315789,0.0098684210526315,288,0,0,0.523650198151556,9,0
1,1.0,0.0,0.0088105726872246,211,0,0,0.5,11,0
4,2.28924642850916,0.0238726790450928,0.0159151193633952,361,0,0,0.457849285701832,6,0
0,0.0,0.0306748466257669,0.0,147,0,0,0.0,1,0
0,0.0,0.003731343283582,0.003731343283582,252,0,0,0.0,2,0
2,1.49491884823395,0.0071022727272727,0.0085227272727272,688,0,0,0.49830628274465,17,0
3,1.74504641727735,0.0317919075144509,0.0043352601156069,676,0,0,0.436261604319336,10,0
4,1.77095059445467,0.0021854511395566,0.0009366219169528,2465,0,0,0.354190118890934,19,0
0,0.0,0.0163934426229508,0.0131147540983607,289,0,0,0.0,9,0
0,0.0,0.0297029702970297,0.0099009900990099,85,1,0,0.0,9,0
0,0.0,0.0038095238095238,0.0044444444444444,1532,0,0,0.0,7,1
3,1.43529725361693,0.0466034755134281,0.0110584518167457,1245,0,0,0.358824313404233,16,0
0,0.0,0.0004042037186742,0.0004042037186742,2868,0,0,0.0,0,0
2,1.22438145772449,0.0502793296089385,0.0055865921787709,878,0,0,0.408127152574831,9,1
0,0.0,0.0324909747292419,0.0180505415162455,261,0,0,0.0,8,0
0,0.0,0.021978021978022,0.0,166,0,0,0.0,10,0
4,1.83926724576224,0.120481927710843,0.0066934404283801,1459,0,0,0.367853449152448,34,0
0,0.0,0.0003734129947722,0.0003734129947722,2237,0,0,0.0,0,0
0,0.0,0.0003601008282319,0.0003601008282319,2301,0,0,0.0,0,0
0,0.0,0.000191717791411,0.000191717791411,2934,0,0,0.0,0,0
0,0.0,0.0,0.0147058823529412,120,0,0,0.0,9,0
0,0.0,0.0579710144927536,0.0,122,1,0,0.0,9,0
1,0.0782324652577124,0.218947368421053,0.0,459,0,0,0.0391162326288562,2,1
1,0.876064367855524,0.109062980030722,0.0,635,0,0,0.438032183927762,8,0
0,0.0,0.0576923076923077,0.0480769230769231,88,1,0,0.0,9,0
3,1.90719967070895,0.0,0.0152413209144793,1162,0,0,0.476799917677237,18,0
0,0.0,0.0001961938395134,0.0001961938395134,2905,0,0,0.0,0,0
3,1.41803634926269,0.221033868092692,0.0409982174688057,545,1,0,0.354509087315673,20,0
0,0.0,0.0082644628099173,0.0413223140495868,226,0,0,0.0,9,0
0,0.0,0.032258064516129,0.0161290322580645,108,0,0,0.0,10,0
0,0.0,0.0121293800539084,0.0283018867924528,726,0,0,0.0,8,0
0,0.0,0.0161290322580645,0.0,46,0,0,0.0,7,0
0,0.0,0.0363636363636364,0.0363636363636364,39,1,0,0.0,9,0
3,1.19859247823481,0.0889175257731959,0.0064432989690721,760,0,0,0.299648119558701,13,0
0,0.0,0.0002862868594331,0.0002862868594331,2596,0,0,0.0,0,0
0,0.0,0.0434782608695652,0.0434782608695652,7,0,0,0.0,5,0
0,0.0,0.0116279069767442,0.0012919896640826,758,0,0,0.0,9,0
0,0.0,0.0018552875695732,0.0018552875695732,523,0,0,0.0,9,0
4,2.25,0.0076701821668264,0.0076701821668264,1025,0,0,0.45,16,0
0,0.0,0.0001945146858587,0.0001945146858587,2918,0,0,0.0,0,0
0,0.0,0.0982456140350877,0.0245614035087719,269,0,0,0.0,9,0
0,0.0,0.0005938242280285,0.0005938242280285,2527,0,0,0.0,0,0
1,0.905928216042999,0.0934959349593496,0.0203252032520325,230,0,0,0.4529641080215,9,0
0,0.0,0.0013054830287206,0.0026109660574412,750,0,0,0.0,8,0
0,0.0,0.0029940119760479,0.0029940119760479,318,0,0,0.0,8,0
0,0.0,0.0204081632653061,0.0204081632653061,82,1,0,0.0,4,0
0,0.0,0.0444444444444444,0.0,254,0,0,0.0,9,0
0,0.0,0.0064102564102564,0.0064102564102564,140,0,0,0.0,7,0
0,0.0,0.002262443438914,0.002262443438914,426,0,0,0.0,9,0
0,0.0,0.032258064516129,0.032258064516129,139,0,0,0.0,10,0
1,0.950956048454973,0.0518518518518519,0.0481481481481481,254,0,0,0.475478024227486,19,0
0,0.0,0.0909090909090909,0.0454545454545455,72,0,0,0.0,8,0
0,0.0,0.0005830903790087,0.0005830903790087,2563,0,0,0.0,0,0
0,0.0,0.0001970443349753,0.0001970443349753,2897,0,0,0.0,0,0
0,0.0,0.000350017500875,0.000350017500875,2340,0,0,0.0,0,0
1,1.0,0.0304182509505703,0.0253485424588086,773,0,0,0.5,18,0
0,0.0,0.0034364261168384,0.0034364261168384,275,0,0,0.0,10,0
0,0.0,0.0041522491349481,0.0013840830449827,1416,0,0,0.0,8,0
0,0.0,0.0,0.0093457943925233,91,0,0,0.0,1,0
0,0.0,0.0300751879699248,0.0300751879699248,117,0,0,0.0,10,0
2,1.15617873048892,0.0603448275862069,0.0,564,1,0,0.385392910162973,22,0
0,0.0,0.0404448938321537,0.0010111223458038,971,0,0,0.0,9,0
1,0.91829583405449,0.0070422535211267,0.0140845070422535,126,0,0,0.459147917027245,9,0
1,0.985228136034252,0.0308056872037915,0.0023696682464455,406,0,0,0.492614068017126,10,0
1,0.591672778582327,0.0267686424474187,0.0133843212237094,507,0,0,0.295836389291164,15,0
3,1.5468845602035,0.0463733650416171,0.0,825,0,0,0.386721140050875,17,0
0,0.0,0.0,0.024390243902439,66,0,0,0.0,1,0
3,1.87191233142387,0.234769687964339,0.0029717682020802,657,0,0,0.467978082855969,13,0
0,0.0,0.0,0.0043668122270742,213,0,0,0.0,11,0
